Time(s),ThrCmd_Percent_Value_write
7.16,-1.488621873
7.18,-1.532266175
7.2,-1.576096642
7.22,-1.620095475
7.24,-1.664244764
7.26,-1.708526497
7.28,-1.752928706
7.3,-1.797430184
7.32,-1.842012391
7.34,-1.886657412
7.36,-1.931347288
7.38,-1.976064026
7.4,-2.020789598
7.42,-2.06550595
7.44,-2.110195007
7.46,-2.154838678
7.48,-2.199418858
7.5,-2.243918
7.52,-2.288322842
7.54,-2.33261195
7.56,-2.376767583
7.58,-2.420772045
7.6,-2.464607694
7.62,-2.508256943
7.64,-2.551702272
7.66,-2.594926227
7.68,-2.637911431
7.7,-2.680640589
7.72,-2.72309649
7.74,-2.765262235
7.76,-2.807123575
7.78,-2.848661711
7.8,-2.889860023
7.82,-2.930702022
7.84,-2.971171353
7.86,-3.011251808
7.88,-3.050927324
7.9,-3.090181992
7.92,-3.129000065
7.94,-3.167365959
7.96,-3.205264262
7.98,-3.242679737
8,-3.279598707
8.02,-3.316005944
8.04,-3.351886491
8.06,-3.387225987
8.08,-3.422010283
8.1,-3.456225448
8.12,-3.489857777
8.14,-3.522893789
8.16,-3.555320241
8.18,-3.587124128
8.2,-3.618292689
8.22,-3.648813413
8.24,-3.678674043
8.26,-3.707863362
8.28,-3.736369385
8.3,-3.764180506
8.32,-3.791285595
8.34,-3.817673804
8.36,-3.843334575
8.38,-3.868257643
8.4,-3.892433041
8.42,-3.915851103
8.44,-3.938502473
8.46,-3.960378104
8.48,-3.981469268
8.5,-4.001767557
8.52,-4.021264886
8.54,-4.039952268
8.56,-4.057823094
8.58,-4.07487025
8.6,-4.091086931
8.62,-4.106466674
8.64,-4.12100336
8.66,-4.13469122
8.68,-4.147524836
8.7,-4.15949915
8.72,-4.17060946
8.74,-4.180851433
8.76,-4.1902211
8.78,-4.198714865
8.8,-4.206329507
8.82,-4.213062049
8.84,-4.218903615
8.86,-4.223856752
8.88,-4.227919498
8.9,-4.231090261
8.92,-4.233367824
8.94,-4.234751343
8.96,-4.235240356
8.98,-4.23483478
9,-4.233534917
9.02,-4.231341456
9.04,-4.228255473
9.06,-4.224278435
9.08,-4.219412206
9.1,-4.213659042
9.12,-4.207021599
9.14,-4.19950175
9.16,-4.191091712
9.18,-4.181804139
9.2,-4.171642816
9.22,-4.160611904
9.24,-4.148715939
9.26,-4.135959833
9.28,-4.122348878
9.3,-4.107888743
9.32,-4.092585479
9.34,-4.076445517
9.36,-4.059475672
9.38,-4.041683141
9.4,-4.023075506
9.42,-4.003660735
9.44,-3.983447182
9.46,-3.962441656
9.48,-3.940634177
9.5,-3.918049324
9.52,-3.894696231
9.54,-3.870584372
9.56,-3.845723558
9.58,-3.820123937
9.6,-3.793795993
9.62,-3.766750545
9.64,-3.738998749
9.66,-3.710552094
9.68,-3.681422404
9.7,-3.651621837
9.72,-3.621162883
9.74,-3.590058366
9.76,-3.558321441
9.78,-3.525965583
9.8,-3.492976269
9.82,-3.459388624
9.84,-3.42521618
9.86,-3.39047274
9.88,-3.355172366
9.9,-3.319329383
9.92,-3.282958373
9.94,-3.246074177
9.96,-3.20869189
9.98,-3.170826859
10,-3.132494681
