Time(s),ThrCmd_Percent_Value_write
9.38,-4.041730404
9.4,-4.023533344
9.42,-4.004527092
9.44,-3.984719038
9.46,-3.964116812
9.48,-3.942728996
9.5,-3.920563936
9.52,-3.89763093
9.54,-3.873938799
9.56,-3.849497318
9.58,-3.824315786
9.6,-3.798404694
9.62,-3.771774054
9.64,-3.744434595
9.66,-3.716397524
9.68,-3.687673807
9.7,-3.658274889
9.72,-3.628212929
9.74,-3.597499371
9.76,-3.566147089
9.78,-3.534168243
9.8,-3.501575708
9.82,-3.468382597
9.84,-3.434602261
9.86,-3.400247812
9.88,-3.365333319
9.9,-3.329872608
9.92,-3.293879986
9.94,-3.257369995
9.96,-3.220356941
9.98,-3.182855606
10,-3.144881248
